N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-10	1	12.5440610143128
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-16	1	12.9113891363572
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-19	1	13.0103302021805
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-26	2	28.6721908421022
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-11	2	32.3279345682604
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-12	3	51.9534497090607
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-15	28	407.747196738022
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-16	24	321.737381862055
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-17	6	76.8393417429724
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-18	17	226.600197275466
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-19	8	102.184186997062
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-22	2	28.4062664223728
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-23	1	13.1686375727567
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-24	1	15.7629255989912
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-25	1	12.6243498459829
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-29	2	28.4733987272391
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-30	21	289.260182647144
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-31	9	130.576713819369
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-01	2	30.1604536132223
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-02	1	21.9158868263604
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-03	2	46.2812977275883
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-06	1	15.1775008727063
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-13	1	13.5486668111858
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-14	2	33.3967872290686
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-21	1	13.0787339785509
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-12	4	57.8762316785554
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-13	1	19.9928025910672
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-20	1	12.2496478226251
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-06-29	1	13.193134292914
3	impfungen mit astrazeneca-impfstoff	impfung mit astrazeneca-impfstoff	NN APPR NN	2021-02-08	1	13.2835642459585
3	impfungen mit astrazeneca-impfstoff	impfung mit astrazeneca-impfstoff	NN APPR NN	2021-02-17	2	25.1111166913593
3	impfungen mit astrazeneca-impfstoff	impfung mit astrazeneca-impfstoff	NN APPR NN	2021-03-15	2	29.1247997670016
3	impfungen mit astrazeneca-vakzine	impfung mit astrazeneca-vakzine	NN APPR NN	2021-02-08	1	13.2835642459585
3	impfungen mit astrazeneca-präparat	impfung mit astrazeneca-präparat	NN APPR NN	2021-02-03	1	14.6425747503441
3	impfungen mit astrazeneca-präparat	impfung mit astrazeneca-präparat	NN APPR NN	2021-04-03	1	23.1406488637941
3	impfungen mit astra-zeneca	impfung mit astra-zeneca	NN APPR NE	2021-03-14	7	131.633382225732
3	impfungen mit astra-zeneca	impfung mit astra-zeneca	NN APPR NE	2021-03-15	3	43.6871996505024
3	impfungen mit astra-zeneca	impfung mit astra-zeneca	NN APPR NE	2021-03-16	3	40.2171727327569
3	impfungen mit astra-zeneca	impfung mit astra-zeneca	NN APPR NE	2021-03-26	2	26.774120135477
3	impfungen mit astra-zeneca	impfung mit astra-zeneca	NN APPR NE	2021-03-31	1	14.5085237577077
3	impfung mit astraneca	impfung mit astraneca	NN APPR NE	2021-03-15	1	14.5623998835008
3	impfungen mit astrazenca	impfung mit astrazenca	NN APPR NE	2021-03-15	1	14.5623998835008
3	impfungen mit astr	impfung mit astr	NN APPR NE	2021-03-16	1	13.4057242442523
3	impfung mit astrazeneca-vakzin	impfung mit astrazeneca-vakzin	NN APPR NN	2021-03-15	3	43.6871996505024
3	impfung mit astrazeneca-vakzin	impfung mit astrazeneca-vakzin	NN APPR NN	2021-04-26	1	13.9060783468454
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-03-15	8	116.499199068006
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-03-16	2	26.8114484885046
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-03-18	1	13.3294233691451
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-03-19	1	12.7730233746328
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-03-30	8	110.19435529415
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-03-31	2	29.0170475154153
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-04-01	6	90.481360839667
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-04-14	3	50.0951808436028
3	impfungen mit astra	impfung mit astra	NN APPR NE	2021-05-18	5	72.5426187885383
3	impfungen mit moderna-vakzin	impfung mit moderna-vakzin	NN APPR NN	2021-01-15	2	26.5805456986032
3	impfung mit moderna-impfstoff	impfung mit moderna-impfstoff	NN APPR NN	2021-01-26	1	13.1295625229767
